## This file contains the gene expression for genes 1-100 
## The each column represents one sample and we have a total of 10 samples
Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene64	73.74	34.95	70.63	26.82	37.46	50.23	19.52	79.99	45.61	98.77
Gene65	55.78	20.63	34.57	3.36	45.32	55.64	57.83	61.63	42.71	43.31
Gene66	3.38	99.49	96.97	85.3	23.29	30.54	27.04	65.98	59.54	87.7
Gene67	77.82	76.07	28.56	93.88	16.79	41.59	67.67	38.32	39.16	48.91
Gene68	57.26	79.38	88.35	81.23	20.64	5.8	79.97	67.31	88.1	54.62
Gene69	54.75	22.61	5.13	5.48	1.7	93.22	5.25	48.42	38.87	92.72
Gene70	80.97	0.9	72.72	0.51	2.58	23.04	21.51	47.87	12.7	22.56
Gene71	24.34	77.85	62.38	77.04	24.55	78.71	13.23	28.63	12.97	94.42
Gene72	4.92	42.71	55.97	16.15	43.78	50.4	85.25	33.97	12.56	70.9
Gene73	45.26	57.18	21.26	90.22	7.67	55.41	32.97	93.04	38.68	53.01
Gene74	34.5	59.12	9.29	16.11	10.55	45.46	35.45	88.36	83.28	34.02
Gene75	44.4	63.76	59.29	42.06	49.92	36.6	39.01	96.88	73.48	7.56
Gene76	8.53	90.44	7.01	61.56	80.23	20.6	41.96	43.52	21.27	72.92
Gene77	56.87	47.84	40.99	43.23	59.03	43.18	57.66	47.93	81.44	53.23
Gene78	62.96	1.32	37.95	77.92	14.44	1.28	53.21	64.26	48.82	83.96
Gene79	12.58	66.91	34.8	20.46	17.08	78.78	65.03	22.65	85.37	54.17
Gene80	72.98	42.01	4.18	68.09	71.83	72.68	42.57	29.97	12.52	10.53
Gene81	88.56	73.22	84.27	55.94	64.91	43.94	30.1	10.04	29.27	71.56
Gene82	78.95	28.17	56.0	15.6	29.96	28.27	12.19	32.33	60.71	17.82
Gene83	70.44	90.49	24.63	1.65	80.04	94.98	4.85	11.71	79.87	24.91
Gene84	70.11	78.63	73.41	6.7	34.63	61.58	98.84	94.92	81.52	5.33
Gene85	8.86	98.42	89.82	29.7	82.08	32.13	61.78	20.64	93.26	43.22
Gene86	58.26	75.71	82.59	59.88	27.22	37.51	38.44	35.26	75.07	21.21
Gene87	5.23	18.46	5.31	89.86	93.71	16.38	15.68	80.16	54.77	9.71
Gene88	75.75	77.18	34.99	26.21	28.93	35.31	91.22	78.28	9.35	69.92
Gene89	90.43	54.23	59.34	5.48	67.62	53.01	89.4	17.29	77.22	48.42
Gene90	33.62	45.62	26.2	71.71	86.06	29.98	53.65	44.36	99.16	67.46
Gene91	58.62	14.23	44.64	23.39	52.1	87.28	64.32	76.81	21.82	70.67
Gene92	27.7	56.08	36.82	87.91	11.58	91.06	74.48	30.76	30.43	76.7
Gene93	9.63	91.94	14.61	29.24	35.11	27.46	46.11	25.47	81.83	15.68
Gene94	30.55	84.94	86.05	76.36	1.99	71.45	67.76	51.47	41.25	22.45
Gene95	89.76	28.57	61.32	52.34	20.77	54.39	80.6	67.82	55.93	10.45
Gene96	58.32	88.38	10.11	96.15	32.61	73.66	30.21	90.02	95.41	13.99
Gene97	23.25	77.78	89.51	53.73	21.62	2.21	37.44	47.71	44.6	8.36
Gene98	12.13	85.86	69.77	75.48	35.44	87.63	2.03	42.35	96.95	94.42
Gene99	19.27	25.05	63.26	85.38	75.4	40.22	19.66	77.41	9.74	47.95
Gene100	36.99	76.11	94.44	69.7	87.45	7.54	69.17	62.93	46.33	77.64
